"subplot","date","tree_diversity","tot_veg","herb_max","grass","fern","herbaceous","woody","open_ground","rock","leaflitter","leaflitter_dept","moss","n_species"
"ac32-i","2023-07-01",2,0.25,27,0.03,0,0.01,0.2,NA,0,0.05,NA,0.03,1
"ac32-ii","2023-07-01",2,0.4,82,0.01,0.15,0.1,0.15,NA,0,0.02,NA,0.1,2
"ac32-iii","2023-07-01",2,0.3,48,0.001,0.15,0.05,0.1,NA,0,0.4,NA,0,2
"ac32-iv","2023-07-01",2,0.2,32,0.02,0.05,0.05,0.05,NA,0,0.05,NA,0.05,3
"ae31-i","2023-06-18",1,0.05,20,0.001,0.01,0.001,0.02,NA,0,0.2,NA,0.02,1
"ae31-ii","2023-06-18",1,0.1,35,0,0.05,0.01,0.05,NA,0,0.4,NA,0.001,1
"ae31-iii","2023-06-18",1,0.4,39,0.001,0.05,0.001,0.35,NA,0,0.5,NA,0.01,3
"ae31-iv","2023-06-18",1,0.05,27,0.001,0.001,0.001,0.01,NA,0,0.05,NA,0.001,2
"ae33-ii","2023-06-18",1,0.02,9,0,0.01,0,0.01,NA,0,0.7,NA,0.05,1
"ae33-iii","2023-06-18",1,0.05,35,0,0,0.01,0.05,NA,0.02,0.85,NA,0,1
"ae33-iv","2023-06-18",1,0.05,41,0,0.02,0.001,0.02,NA,0.03,0.7,NA,0.001,1
"af21-i","2023-06-28",1,0.3,101,0.1,0.15,0.3,0.05,NA,0,0.1,NA,0,1
"af21-ii","2023-06-28",1,0.8,97,0.3,0.15,0.15,0.15,NA,0,0.15,NA,0,1
"af21-iii","2023-06-28",1,0.25,126,0.05,0.1,0.05,0.001,NA,0,0.1,NA,0,3
"af21-iv","2023-06-28",1,0.6,75,0.1,0.5,0.01,0.01,NA,0,0.25,NA,0,2
"af27-i","2023-09-18",4,0.1,37,0.02,0.02,0.001,0.05,NA,0,0.6,NA,0.4,2
"af27-ii","2023-06-28",4,0.25,40,0.01,0.2,0.01,0.02,NA,0,0.1,NA,0,1
"af27-iii","2023-06-28",4,0.15,60,0,0.1,0.01,0.03,NA,0.01,0.05,NA,0.03,3
"af27-iv","2023-06-28",4,0.1,24,0,0.05,0.001,0.05,NA,0,0.1,NA,0.1,2
"ag24-i","2023-06-28",1,0.2,88,0.01,0.15,0.03,0.02,NA,0,0.1,NA,0.05,1
"ag24-ii","2023-09-10",1,0.15,35,0.001,0.01,0.15,0.001,NA,0,0.2,NA,0,1
"ag24-iii","2023-06-28",1,0.15,70,0,0.07,0.07,0,NA,0,0.2,NA,0,1
"ah31-i","2023-06-30",2,0.1,25,0.001,0.001,0.02,0.1,NA,0.1,0.3,NA,0,3
"ah31-ii","2023-06-30",2,0.25,53,0.001,0.1,0.05,0.1,NA,0.2,0.25,NA,0.03,3
"ah31-iii","2023-06-30",2,0.5,44,0.2,0.01,0.03,0.25,NA,0.15,0.4,NA,0.05,2
"ah31-iv","2023-06-30",2,0.1,24,0.02,0.01,0.03,0.05,NA,0,0.6,NA,0,2
"ai12-i","2023-06-28",1,0.15,54,0.1,0.02,0.01,0.01,NA,0,0.05,NA,0.15,3
"ai12-ii","2023-06-28",1,0.6,47,0.15,0.2,0.15,0.1,NA,0,0.2,NA,0,1
"ai12-iii","2023-06-28",1,0.6,63,0,0.5,0.02,0.1,NA,0,0.03,NA,0.02,1
"ai12-iv","2023-06-28",1,0.4,95,0,0.4,0.001,0.001,NA,0.01,0.3,NA,0.1,2
"ai27-ii","2023-06-17",2,0.6,34,0.001,0.5,0.02,0.05,NA,0,0.2,NA,0,3
"ai27-iii","2023-06-17",2,0.6,39,0,0.4,0.01,0.2,NA,0,0.6,NA,0,3
"ai27-iv","2023-06-17",2,0.4,58,0.001,0.3,0.02,0.05,NA,0,0.6,NA,0,2
"ai28-i","2023-06-17",1,0.5,38,0.001,0.45,0.001,0.05,NA,0,0.6,NA,0,1
"ai28-ii","2023-06-17",1,0.25,30,0,0.25,0,0.01,NA,0,0.9,NA,0,1
"aj21-i","2023-07-01",2,0.001,36,0.001,0,0,0.001,NA,0.1,0.3,NA,0.2,3
"aj21-ii","2023-07-01",2,0.2,68,0,0.15,0.01,0.1,NA,0.03,0.75,NA,0.01,3
"aj21-iii","2023-07-01",2,0.05,72,0,0.03,0.01,0.02,NA,0.1,0.2,NA,0.02,2
"aj21-iv","2023-07-01",2,0.01,23,0.001,0.001,0.001,0.001,NA,0,0.1,NA,0,1
"ak19-i","2023-07-01",1,0.001,6,0,0,0,0.001,NA,0,0.5,NA,0,1
"ak19-iv","2023-09-08",1,0.001,15,0,0.001,0.001,0,NA,0,0.7,NA,0,1
"al10-i","2023-07-01",1,0.2,41,0.03,0.1,0.03,0.03,NA,0,0.5,NA,0,3
"al10-ii","2023-07-01",1,0.2,43,0.01,0.001,0.1,0.1,NA,0,0.5,NA,0,2
"al10-iii","2023-07-01",1,0.1,31,0.02,0.05,0.01,0.01,NA,0,0.8,NA,0,2
"al10-iv","2023-07-01",1,0.01,11,0,0.001,0,0.001,NA,0,0.1,NA,0,2
"al11-i","2023-06-18",1,0.15,49,0,0.1,0.001,0.05,NA,0,0.9,NA,0,1
"al11-iii","2023-06-18",1,0.01,28,0,0.01,0,0.001,NA,0,0.4,NA,0,1
"al11-iv","2023-09-19",1,0.25,27,0.01,0.25,0.001,0.001,NA,0,0.25,NA,0.03,1
"al22-i","2023-06-30",16,0.05,35,0,0,0,0.05,NA,0.15,0,NA,0.15,1
"al22-i.o","2023-06-29",16,0.5,65,0,0.5,0.001,0.001,NA,0,1,NA,0,1
"al22-ii","2023-09-15",16,0,0,0,0,0,0,NA,0,0.3,NA,0,1
"al22-ii.o","2023-06-30",16,0.15,35,0,0.1,0.01,0.05,NA,0,0.2,NA,0,4
"al22-iii.o","2023-06-30",16,0.05,25,0,0.05,0,0.01,NA,0,0.3,NA,0,1
"al22-iv","2023-06-30",16,0.02,32,0,0.02,0,0.001,NA,0,1,NA,0,1
"al22-iv.o","2023-06-30",16,0.8,72,0,0.65,0.1,0.05,NA,0,0.25,NA,0,2
"an11-i","2023-09-19",1,0.9,37,0,0.5,0.03,0.4,NA,0,0.3,NA,0,2
"an11-ii","2023-06-18",1,0.5,38,0.05,0.4,0.001,0.03,NA,0,0.5,NA,0,3
"an11-iii","2023-06-18",1,0.9,53,0.1,0.6,0.05,0.15,NA,0,0.4,NA,0,3
"an11-iv","2023-06-18",1,0.4,25,0.001,0.25,0.05,0.1,NA,0.01,0.5,NA,0,1
"an13-i","2023-10-14",1,0.6,39,0.25,0.25,0.05,0.03,NA,0,0.2,NA,0,2
"an13-ii","2023-06-15",1,0.3,57,0.01,0.25,0.01,0.03,NA,0,0.05,NA,0,2
"an13-iii","2023-06-15",1,0.15,43,0.03,0.1,0.02,0.02,NA,0,0.1,NA,0,3
"an13-iv","2023-06-15",1,0.7,40,0.05,0.65,0.001,0.001,NA,0,0.25,NA,0,1
"an8-i","2023-09-08",4,0,0,0,0,0,0.001,NA,0,0.5,NA,0.01,1
"an8-iv","2023-07-04",4,0.05,50,0.01,0.01,0,0.03,NA,0,0.5,NA,0,1
"an9-i","2023-06-30",24,0.25,37,0,0.25,0.001,0.02,NA,0,0.6,NA,0.05,1
"an9-i.o","2023-06-30",24,0.15,35,0,0.1,0.02,0.02,NA,0.1,0.4,NA,0.2,1
"an9-ii","2023-06-30",24,0.15,45,0,0.07,0.001,0.05,NA,0,0.7,NA,0.15,2
"an9-ii.o","2023-06-30",24,0.01,20,0,0,0,0.01,NA,0.01,0.25,NA,0.05,1
"an9-iii","2023-06-30",24,0.2,37,0,0.03,0.001,0.15,NA,0.01,0.2,NA,0.15,3
"an9-iii.o","2023-06-30",24,0.05,23,0,0.02,0.01,0.03,NA,0,0.5,NA,0,3
"an9-iv.o","2023-06-30",24,0.4,51,0,0.4,0.001,0.03,NA,0,0.4,NA,0.2,2
"ao22-i","2023-09-17",1,0.01,35,0,0.01,0.001,0,NA,0.01,0.15,NA,0.05,1
"ao22-ii","2023-07-01",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ao22-iii","2023-07-01",1,0.01,32,0,0.001,0.001,0.01,NA,0,0.2,NA,0.01,2
"ao27-ii","2023-06-22",1,0.1,78,0.03,0.02,0.01,0.02,NA,0,0.8,NA,0,2
"ao27-iii","2023-06-22",1,0.3,29,0.1,0.1,0.03,0.05,NA,0.01,0.3,NA,0,1
"ao27-iv","2023-06-22",1,0.25,10,0.2,0.01,0.01,0.001,NA,0.02,0.1,NA,0.03,1
"ap19-i","2023-07-01",4,0.05,60,0.01,0.03,0,0.001,NA,0,0.15,NA,0.03,2
"ap19-ii","2023-07-01",4,0.25,33,0,0.25,0.001,0.02,NA,0,0.2,NA,0.1,2
"ap19-iii","2023-07-01",4,0.5,52,0,0.4,0.02,0.05,NA,0.02,0.2,NA,0.3,3
"ap19-iv","2023-07-01",4,0.1,37,0.001,0.05,0,0.05,NA,0.01,0.1,NA,0.05,2
"ap23-i","2023-09-09",2,0.001,25,0,0,0,0.001,NA,0,0.6,NA,0,1
"ap26-i","2023-06-22",2,0.4,32,0.001,0.15,0.05,0.15,NA,0,0.5,NA,0.1,1
"ap26-ii","2023-06-22",2,0.7,80,0,0.6,0.001,0.1,NA,0,0.5,NA,0,2
"ap26-iii","2023-06-22",2,0.15,44,0.001,0.1,0.001,0.03,NA,0,0.8,NA,0,3
"ap26-iv","2023-06-22",2,0.1,35,0.03,0.02,0.001,0.05,NA,0.02,0.3,NA,0,1
"aq21-i","2023-06-22",2,0.2,62,0,0.05,0.02,0.15,NA,0,0.8,NA,0.25,5
"aq21-ii","2023-06-22",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"aq21-iii","2023-06-22",2,0.02,47,0,0.001,0.001,0.01,NA,0.01,0.4,NA,0.15,3
"aq21-iv","2023-09-17",2,0.15,47,0.001,0.15,0.001,0.001,NA,0,0.4,NA,0.05,1
"aq9-i","2023-07-04",2,0.2,32,0.001,0.15,0.001,0.05,NA,0,1,NA,0,2
"aq9-i.o","2023-07-04",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"aq9-iv","2023-09-19",2,0.05,64,0.03,0.02,0.001,0,NA,0,0.95,NA,0,1
"ar14-ii","2023-10-11",1,0.001,23,0,0.001,0,0,NA,0,0.2,NA,0.01,1
"ar14-iv","2023-09-09",1,0.03,61,0,0.03,0.001,0,NA,0,0.4,NA,0.02,1
"as10-i","2023-07-04",8,0.05,37,0.02,0.03,0.001,0.001,NA,0.02,0.02,NA,0.1,1
"as10-i.o","2023-07-04",8,0.3,65,0.03,0.2,0.05,0.02,NA,0.05,0.1,NA,0.01,1
"as10-ii","2023-07-04",8,0.05,21,0.001,0.03,0.001,0.001,NA,0,0.15,NA,0.03,1
"as10-ii.o","2023-07-04",8,0.01,28,0,0,0.001,0.001,NA,0,0.05,NA,0.02,1
"as10-iii","2023-07-04",8,0.15,40,0.01,0.1,0.01,0.02,NA,0,0.03,NA,0.01,3
"as10-iii.o","2023-07-04",8,0.1,37,0.1,0.001,0.001,0.001,NA,0,0.05,NA,0,1
"as10-iv","2023-07-04",8,0.1,41,0.01,0.05,0.03,0.03,NA,0.01,0.05,NA,0.01,2
"as10-iv.o","2023-07-04",8,0.2,56,0,0.2,0.001,0.001,NA,0,0.3,NA,0.02,2
"at15-i","2023-06-30",8,0.001,0,0,0,0,0.001,NA,0,0.9,NA,0,2
"at15-i.o","2023-06-30",8,0.001,34,0,0.001,0.001,0.001,NA,0,0.2,NA,0.02,1
"at15-ii.o","2023-06-30",8,0.05,67,0,0.05,0,0.01,NA,0,0.4,NA,0,3
"at15-iii","2023-06-30",8,0.01,14,0.001,0.01,0,0,NA,0,0,NA,0,1
"at15-iii.o","2023-06-30",8,0.1,52,0,0,0.001,0.001,NA,0,1,NA,0,1
"at15-iv","2023-06-30",8,0.05,21,0,0.001,0,0.05,NA,0.02,0.6,NA,0.25,2
"at15-iv.o","2023-06-30",8,0.1,30,0,0,0.001,0.001,NA,0,1,NA,0,2
"aw14-i","2023-06-15",1,0.01,15,0,0.001,0.001,0.001,NA,0.03,0.001,NA,0,1
"aw14-ii","2023-06-15",1,0.07,12,0.001,0.01,0.001,0.05,NA,0.03,0.01,NA,0,2
"aw14-iii","2023-06-15",1,0.1,60,0.03,0.02,0.01,0.01,NA,0.1,0.03,NA,0.02,1
"aw14-iv","2023-06-15",1,0.03,37,0.001,0.01,0.02,0.001,NA,0.01,0.001,NA,0,3
"awx12-i","2023-07-04",4,0.4,61,0.001,0.3,0.1,0.01,NA,0.15,0.4,NA,0.15,3
"awx12-ii","2023-07-04",4,0.15,53,0,0.1,0.02,0.03,NA,0.15,0.05,NA,0,4
"awx12-iii","2023-07-04",4,0.15,39,0.01,0.02,0.01,0.1,NA,0.25,0.1,NA,0.2,4
"awx12-iv","2023-07-04",4,0.03,23,0.01,0,0.01,0.01,NA,0.1,0.05,NA,0.05,1
"bg28-i","2023-07-06",2,0.15,60,0.02,0.05,0.03,0.05,NA,0,0.25,NA,0.1,3
"bg28-ii","2023-07-06",2,0.15,40,0.05,0.05,0.001,0.05,NA,0,0.4,NA,0.01,3
"bg28-iii","2023-07-06",2,0.1,20,0,0.05,0.001,0.03,NA,0,0.7,NA,0.03,2
"bg28-iv","2023-09-27",2,0.05,20,0.02,0.02,0,0,NA,0,0.3,NA,0.05,1
"bi25-i","2023-06-12",1,0.05,35,0.001,0.04,0.01,0.01,NA,0,0.5,NA,0,3
"bi25-ii","2023-06-12",1,0.2,50,0.001,0.15,0.001,0.05,NA,0,0.6,NA,0,5
"bi25-iii","2023-06-12",1,0.1,90,0.001,0.05,0.001,0.03,NA,0,0.67,NA,0,2
"bi25-iv","2023-06-12",1,0.3,75,0.01,0.25,0.03,0.03,NA,0,0.9,NA,0,4
"bj29-i","2023-07-06",8,0.75,64,0.01,0.7,0.001,0.05,NA,0,0.9,NA,0.03,3
"bj29-i.o","2023-07-06",8,0.3,64,0.02,0.2,0.03,0.03,NA,0.02,0.6,NA,0.01,3
"bj29-ii","2023-07-06",8,0.75,46,0.01,0.6,0.03,0.1,NA,0,0.8,NA,0,7
"bj29-ii.o","2023-07-06",8,0.3,31,0,0.2,0.02,0.1,NA,0,0.1,NA,0.25,4
"bj29-iii","2023-07-06",8,0.95,32,0,0.9,0.05,0.01,NA,0.01,1,NA,0,2
"bj29-iii.o","2023-07-06",8,0.7,33,0,0.6,0.03,0.07,NA,0,0.5,NA,0.1,6
"bj29-iv","2023-07-06",8,0.95,51,0,0.5,0.1,0.35,NA,0,0.7,NA,0,10
"bj29-iv.o","2023-07-06",8,0.5,45,0,0.4,0.02,0.1,NA,0,1,NA,0,1
"bm22-i","2023-06-05",4,0.95,65,0.001,0.9,0.001,0.001,NA,0,0.15,NA,0,5
"bm22-ii","2023-06-05",4,0.2,63,0.001,0.15,0.001,0.03,NA,0,0.5,NA,0,2
"bm22-iii","2023-06-05",4,0.6,57,0.1,0.4,0.03,0.1,NA,0,0.3,NA,0,4
"bm22-iv","2023-06-05",4,0.4,107,0.01,0.3,0.05,0.01,NA,0,0.5,NA,0,2
"bm24-i","2023-06-05",2,0.35,65,0.01,0.3,0.02,0.02,NA,0,0.25,NA,0.05,4
"bm24-ii","2023-06-05",2,0.05,75,0,0.03,0.001,0.01,NA,0,0.03,NA,0,1
"bm24-iii","2023-06-05",2,0.15,35,0.001,0.08,0.02,0.08,NA,0,0.05,NA,0.001,1
"bm24-iv","2023-06-05",2,0.25,57,0,0.2,0.02,0.01,NA,0,0.03,NA,0.01,2
"bm29-i","2023-06-16",2,0.2,78,0.001,0.15,0.02,0.03,NA,0,0.7,NA,0,5
"bm29-ii","2023-06-16",2,0.8,45,0.15,0.35,0.1,0.1,NA,0,0.4,NA,0,1
"bm29-iii","2023-06-16",2,0.7,41,0.02,0.5,0.15,0.03,NA,0,0.4,NA,0,3
"bm29-iv","2023-06-16",2,0.15,35,0.001,0.1,0.001,0.01,NA,0,1,NA,0,1
"bm7-i","2023-06-09",1,0.4,62,0.15,0.05,0.05,0.15,NA,0,0.15,NA,0,2
"bm7-ii","2023-09-23",1,0.9,140,0.1,0.3,0.001,0.5,NA,0,0,NA,0.1,1
"bm7-iii","2023-06-09",1,0.5,115,0.4,0.05,0.001,0.01,NA,0,0.3,NA,0,1
"bm7-iv","2023-06-09",1,0.7,120,0.3,0.2,0.001,0.25,NA,0,0.05,NA,0,4
"bn28-i","2023-06-16",1,0.4,85,0.02,0.35,0.001,0.01,NA,0,0.9,NA,0,2
"bn28-ii","2023-06-16",1,0.6,98,0.01,0.6,0.1,0.001,NA,0,0.9,NA,0,1
"bn28-iii","2023-09-28",1,0.3,130,0.1,0.2,0.001,0.001,NA,0,1,NA,0,1
"bn28-iv","2023-09-28",1,0.9,140,0.001,0.5,0.25,0.2,NA,0,0.8,NA,0,2
"bn5-i","2023-07-03",1,0.15,143,0.01,0.07,0.01,0.07,NA,0,0.25,NA,0,1
"bn5-ii","2023-07-03",1,0.8,138,0.3,0.25,0.2,0.05,NA,0,0.5,NA,0.01,1
"bn5-iii","2023-07-03",1,0.6,160,0.15,0.4,0.02,0.02,NA,0,0.2,NA,0,3
"bn5-iv","2023-07-03",1,0.9,200,0.2,0.4,0.15,0.15,NA,0,0.3,NA,0,2
"bo27-i","2023-07-07",2,0.2,42,0,0.15,0.03,0.02,NA,0,0.25,NA,0.1,2
"bo27-ii","2023-09-28",2,0.1,50,0,0.1,0.001,0.001,NA,0,0.4,NA,0.02,4
"bo27-iii","2023-07-07",2,0.1,17,0,0.001,0.001,0.1,NA,0,0.9,NA,0,6
"bo27-iv","2023-07-07",2,0.1,44,0,0.1,0.001,0.001,NA,0,0.9,NA,0,1
"bo29-iv","2023-06-29",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"bo31-i","2023-07-06",4,1,62,0.01,0.9,0.02,0.1,NA,0,1,NA,0,6
"bo31-ii","2023-07-06",4,0.8,49,0,0.3,0.1,0.4,NA,0,0.7,NA,0,3
"bo31-iii","2023-07-06",4,0.7,45,0,0.6,0.01,0.05,NA,0,0.4,NA,0,3
"bo31-iv","2023-07-06",4,0.5,64,0,0.25,0.05,0.2,NA,0,0.3,NA,0.03,3
"bq17-i","2023-07-03",8,0.4,104,0.02,0.25,0.02,0.15,NA,0,0.5,NA,0,3
"bq17-i.o","2023-07-03",8,0.25,62,0.01,0.05,0.03,0.15,NA,0,0.4,NA,0.15,2
"bq17-ii","2023-07-03",8,0.15,53,0.05,0.05,0.02,0.03,NA,0,0.6,NA,0.02,1
"bq17-ii.o","2023-07-03",8,0.35,48,0.01,0.3,0.02,0.02,NA,0,0.6,NA,0.05,1
"bq17-iii","2023-07-03",8,0.15,67,0.01,0.15,0.001,0.01,NA,0,0.4,NA,0.1,1
"bq17-iv","2023-07-03",8,0.6,104,0.05,0.3,0.05,0.2,NA,0,0.3,NA,0.01,3
"bq17-iv.o","2023-07-03",8,0.7,160,0.15,0.25,0.05,0.25,NA,0,0.5,NA,0,1
"bq27-i","2023-09-25",2,0.5,75,0,0.3,0.02,0.2,NA,0,0.5,NA,0.1,4
"bq27-ii","2023-06-29",2,0.4,82,0.03,0.3,0.02,0.05,NA,0,0.4,NA,0,4
"bq27-iii","2023-06-29",2,0.6,78,0.001,0.5,0.03,0.05,NA,0,0.5,NA,0,3
"bq27-iv","2023-06-29",2,0.4,38,0,0.2,0.3,0.15,NA,0,0.5,NA,0,3
"bq29-i","2023-09-28",1,0.05,75,0.01,0.02,0.001,0.001,NA,0.03,0.15,NA,0,1
"bq29-ii","2023-06-29",1,0.05,11,0.001,0.02,0.001,0.02,NA,0.01,0.15,NA,0.05,3
"bq29-iii","2023-06-29",1,0.5,38,0.05,0.15,0.03,0.25,NA,0,0.3,NA,0,4
"bq29-iv","2023-06-29",1,0.7,35,0.02,0.5,0.02,0.15,NA,0,0.6,NA,0,4
"br29-i","2023-06-29",1,0.3,61,0,0.25,0.001,0.05,NA,0,1.2,NA,0,3
"br29-ii","2023-06-29",1,0.02,22,0,0.01,0,0.01,NA,0,0.5,NA,0.2,2
"br29-iv","2023-09-25",1,0.07,35,0,0.05,0.02,0,NA,0,0.6,NA,0,3
"br3-i","2023-06-03",4,0.5,40,0.02,0.25,0.1,0.15,NA,0,0.5,NA,0,3
"br3-ii","2023-06-03",4,0.5,50,0.001,0.05,0.02,0.35,NA,0,0.6,NA,0.15,3
"br3-iv","2023-06-03",4,0.7,60,0.02,0.5,0.02,0.15,NA,0,0.35,NA,0,3
"bs18-ii","2023-07-07",4,1,180,0.01,1,0.02,0.02,NA,0,0.5,NA,0,2
"bs18-ii.o","2023-07-07",4,0.7,120,0,0.62,0.001,0.05,NA,0,0.01,NA,0,1
"bs18-iii","2023-07-07",4,0.95,101,0.95,0.9,0.001,0.05,NA,0,0.5,NA,0.01,2
"bs18-iii.o","2023-07-07",4,0.3,170,0,0.02,0,0.3,NA,0,0.05,NA,0,1
"bs22-i","2023-07-07",16,0.9,127,0,0.6,0.03,0.3,NA,0,0.2,NA,0.03,3
"bs22-i.o","2023-09-24",16,0.75,72,0.01,0.5,0.03,0.2,NA,0,0.5,NA,0,2
"bs22-ii","2023-07-07",16,0.4,71,0,0.15,0.001,0.25,NA,0,0.5,NA,0.1,3
"bs22-ii.o","2023-07-07",16,0.95,97,0,0.8,0.001,0.15,NA,0,0.75,NA,0,1
"bs22-iii","2023-07-07",16,0.9,86,0.02,0.6,0.02,0.3,NA,0,0.8,NA,0.1,3
"bs22-iii.o","2023-07-07",16,0.6,83,0,0.4,0.05,0.15,NA,0,0.2,NA,0,1
"bs22-iv","2023-07-07",16,0.5,66,0.03,0.3,0.05,0.1,NA,0,1,NA,0,4
"bs22-iv.o","2023-07-07",16,0.3,147,0.01,0.3,0.001,0.001,NA,0,0.5,NA,0,2
"bt13-i","2023-06-25",1,0.4,75,0.2,0.15,0.001,0.05,NA,0,0.5,NA,0,1
"bt13-ii","2023-06-25",1,0.5,64,0.15,0.1,0.02,0.25,NA,0,0.25,NA,0.02,2
"bt13-iii","2023-06-25",1,0.5,80,0.2,0.15,0.1,0.1,NA,0,0.25,NA,NA,2
"bt13-iv","2023-06-25",1,0.7,173,0.5,0.1,0.03,0.05,NA,0,0.4,NA,0,1
"bt29-i","2023-06-29",1,0.4,60,0.01,0.25,0.02,0.2,NA,0,0.7,NA,0,2
"bt29-iii","2023-06-29",1,0.15,200,0.02,0.1,0.02,0.02,NA,0,1,NA,0,4
"bt29-iiiv","2023-06-29",1,0.3,107,0.15,0.1,0.001,0.02,NA,0,0,NA,0,5
"bt29-iv","2023-06-29",1,0.7,137,0.05,0.6,0.01,0.05,NA,0,0.9,NA,0,2
"bt8-i","2023-07-03",24,0.1,99,0.02,0.001,0.05,0.02,NA,0,0.2,NA,0.001,2
"bt8-i.o","2023-07-03",24,0.1,35,0.02,0.05,0.02,0.01,NA,0,0.4,NA,0.2,3
"bt8-ii","2023-07-03",24,0.15,24,0.01,0.02,0.01,0.1,NA,0.03,0.4,NA,0.01,5
"bt8-ii.o","2023-07-03",24,0.05,16,0.001,0,0.001,0.02,NA,0.05,0.1,NA,0,3
"bt8-iii","2023-07-03",24,0.05,46,0.01,0,0.01,0.02,NA,0.03,0.5,NA,0.15,4
"bt8-iii.o","2023-07-03",24,0.05,19,0.001,0.001,0.001,0.05,NA,0.05,0.3,NA,0,2
"bt8-iv","2023-07-03",24,0.4,30,0.25,0,0.1,0.01,NA,0,0.5,NA,0.001,1
"bt8-iv.o","2023-07-03",24,0.4,50,0.05,0,0.1,0.25,NA,0.02,0.7,NA,0,4
"bu16-i","2023-06-27",1,0.5,74,0.02,0.4,0.03,0.07,NA,0,0.8,NA,0,4
"bu16-iii","2023-06-27",1,0.7,76,0.001,0.7,0.05,0.001,NA,0,0.5,NA,0.1,1
"bu16-iv","2023-06-27",1,0.9,95,0.02,0.7,0.03,0.05,NA,0,0.15,NA,0,2
"bu27-i","2023-06-29",2,0.3,104,0.001,0.25,0.01,0.01,NA,0,0.05,NA,0,2
"bu27-ii","2023-09-25",2,0.1,97,0.001,0.1,0,0,NA,0,0.2,NA,0,3
"bu27-iii","2023-06-29",2,0.25,85,0,0.25,0.001,0.01,NA,0,0.01,NA,0,1
"bu27-iv","2023-06-29",2,1,113,0.02,0.8,0.02,0.15,NA,0,0.5,NA,0,4
"bv15-i","2023-06-27",2,0.5,117,0.05,0.4,0.01,0.01,NA,0,0.4,NA,0.2,1
"bv15-ii","2023-06-27",2,0.5,125,0.02,0.3,0.05,0.15,NA,0,0.6,NA,0,4
"bv15-iii","2023-06-27",2,0.95,110,0.1,0.3,0.02,0.5,NA,0,0.1,NA,0,3
"bv15-iv","2023-06-27",2,0.3,98,0.03,0.15,0.03,0.1,NA,0.02,0.1,NA,0,1
"bv19-i","2023-09-21",2,0.7,123,0.05,0.4,0.03,0.2,NA,0,0.3,NA,0,1
"bv19-ii","2023-06-27",2,0.8,39,0.01,0.7,0.02,0.1,NA,0.02,0.3,NA,0,3
"bv19-iii","2023-06-27",2,0.9,90,0.15,0.6,0.05,0.15,NA,0,0.2,NA,0.15,2
"bv19-iv","2023-06-27",2,0.15,46,0,0.1,0.01,0.02,NA,0,0.7,NA,0.2,1
"bv23-i","2023-06-27",2,0.1,65,0,0.1,0.001,0.01,NA,0,0.2,NA,0.1,2
"bv23-ii","2023-06-27",2,0.2,30,0.01,0.03,0.02,0.15,NA,0,0.15,NA,0.1,4
"bv23-iii","2023-06-27",2,0.05,18,0.01,0.001,0.001,0.02,NA,0,0.5,NA,0,1
"bv23-iv","2023-06-27",2,0.05,16,0.001,0,0.001,0.05,NA,0,0.4,NA,0,4
"bv24-i","2023-07-07",1,0.15,58,0.01,0.1,0.02,0.03,NA,0,1,NA,0,1
"bv24-ii","2023-07-07",1,0.45,85,0,0.15,0.15,0.15,NA,0,0.7,NA,0,2
"bv24-iii","2023-07-07",1,0.7,72,0,0.7,0.001,0.001,NA,0,1,NA,0,2
"bv24-iv","2023-07-07",1,0.9,84,0,0.7,0.05,0.2,NA,0,1,NA,0.01,6
"bw10-i","2023-06-17",1,0.25,102,0.05,0.08,0.03,0.1,NA,0,0.6,NA,0,1
"bw10-ii","2023-06-17",1,0.33,95,0.001,0.1,0.02,0.2,NA,0,0.4,NA,0,3
"bw10-iii","2023-06-17",1,0.9,110,0.1,0.3,0.05,0.5,NA,0,0.15,NA,0,1
"bw10-iv","2023-06-17",1,0.4,200,0.1,0.05,0.15,0.1,NA,0,0.3,NA,0,3
"bw11-i","2023-06-17",1,0.6,65,0.05,0.4,0.05,0.1,NA,0,0.4,NA,0.03,2
"bw11-ii","2023-06-17",1,0.5,56,0.01,0.2,0.05,0.2,NA,0,0.25,NA,0,2
"bw11-iii","2023-06-17",1,0.9,82,0.01,0.85,0.02,0.02,NA,0,0.4,NA,0.05,2
"bw11-iv","2023-06-17",1,0.7,93,0.05,0.15,0.05,0.4,NA,0,0.3,NA,0,6
"bx21-i","2023-09-24",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"bx21-ii","2023-06-17",1,0.6,140,0.15,0.3,0.05,0.1,NA,0,0.5,NA,0,3
"bx21-ii.o","2023-06-17",1,0.4,114,0.1,0.15,0.05,0.1,NA,0,0.4,NA,0,5
"bx21-iii","2023-06-17",1,0.4,97,0.03,0.25,0.05,0.1,NA,0,0.7,NA,0,2
"bx21-iv","2023-06-17",1,0.4,96,0.1,0.15,0.05,0.1,NA,0,0.7,NA,0,4
