"plot","subplot","rli"
"ac32","ac32-i",21.7863378826212
"ac32","ac32-ii",10.0722765363129
"ac32","ac32-iii",14.2313253012048
"ac32","ac32-iv",22.1122176658205
"ae31","ae31-i",6.92743070427706
"ae31","ae31-ii",5.7422582328208
"ae31","ae31-iii",7.15832664897884
"ae31","ae31-iv",6.68603206163788
"ae33","ae33-i",13.9716520614009
"ae33","ae33-ii",26.8995811030952
"ae33","ae33-iii",23.5127710561693
"ae33","ae33-iv",15.2650746268657
"af21","af21-i",33.4177351578494
"af21","af21-ii",14.5616140909275
"af21","af21-iii",38.9189773233749
"af21","af21-iv",19.7877703691657
"af27","af27-i",13.1424363195287
"af27","af27-ii",23.0184687983077
"af27","af27-iii",23.7432369763487
"af27","af27-iv",14.5454545454545
"ag24","ag24-i",73.5840924111376
"ag24","ag24-ii",73.5406054218631
"ag24","ag24-iv",84.6725026202743
"ag24","ag24-iii",108.742540365333
"ah31","ah31-i",20.0343242221942
"ah31","ah31-ii",16.520782396088
"ah31","ah31-iii",10.4693024750884
"ah31","ah31-iv",14.9146536099765
"ai12","ai12-i",15.6796633069096
"ai12","ai12-ii",17.8218180063688
"ai12","ai12-iii",38.9243534613288
"ai12","ai12-iv",26.9773874223602
"ai27","ai27-i",60.3358907185629
"ai27","ai27-ii",95.1733966745843
"ai27","ai27-iii",94.1284932296168
"ai27","ai27-iv",53.2819277108434
"ai28","ai28-i",73.4979423868313
"ai28","ai28-ii",50.0752334832238
"ai28","ai28-iii",48.5430754369017
"ai28","ai28-iv",56.1589522784356
"aj21","aj21-i",4.96672830421274
"aj21","aj21-ii",4.00808262236192
"aj21","aj21-iii",4.16447760148506
"aj21","aj21-iv",4.98206682467437
"ak19","ak19-i",7.77770558752552
"ak19","ak19-ii",8.52965906588457
"ak19","ak19-iii",6.98504039296878
"ak19","ak19-iv",8.70487174216443
"al10","al10-i",86.1910485752669
"al10","al10-ii",100.809687589567
"al10","al10-iii",6.9405429008078
"al10","al10-iv",4.88152110199297
"al11","al11-i",0.937903225806452
"al11","al11-ii",0.842080536912752
"al11","al11-iii",5.18822733423545
"al11","al11-iv",3.62658746415404
"al22","al22-i",12.6304322395742
"al22","al22-i.o",10.7828114116761
"al22","al22-ii",2.43529525200072
"al22","al22-ii.o",13.931990988454
"al22","al22-iii",4.26926997791244
"al22","al22-iii.o",18.4643821982084
"al22","al22-iv",3.5722292379074
"al22","al22-iv.o",26.0657003173514
"an8","an8-i",2.39437415273385
"an8","an8-ii",10.6277499089202
"an8","an8-iii",2.24820922406691
"an8","an8-iv",4.45324110726836
"an9","an9-i",8.0824779183576
"an9","an9-i.o",11.9270503279051
"an9","an9-ii",5.79465438328835
"an9","an9-ii.o",4.70937198632339
"an9","an9-iii",4.54916248149331
"an9","an9-iii.o",4.72477925981589
"an9","an9-iv",6.23560698627183
"an9","an9-iv.o",9.1830570586046
"an11","an11-i",116.058731896911
"an11","an11-ii",110.736567793362
"an11","an11-ii",114.184613973679
"an11","an11-iv",120.6216750266
"an13","an13-i",26.2502390209701
"an13","xxx",16.2643220878421
"an13","an13-ii",11.8611941386601
"an13","xxx",42.9326460205392
"an13","an13-iv",115.861896422317
"an13","an13-iii",92.9688814129521
"ao22","ao22-i",4.75698987763135
"ao22","ao22-ii",2.20563110777011
"ao22","ao22-iii",2.13660410631062
"ao22","ao22-iv",3.88918331295013
"ao27","ao27-i",23.9796504943665
"ao27","ao27-ii",23.2158176156061
"ao27","ao27-iii",24.6617776474039
"ao27","ao27-iv",25.2168822806299
"ap19","ap19-i",13.5462632557672
"ap19","ap19-ii",19.2600232354127
"ap19","ap19-iii",15.0449129665829
"ap19","ap19-iv",13.8431509236668
"ap23","ap23-i",8.90712763896959
"ap23","ap23-ii",9.09894351889476
"ap23","ap23-iii",5.91178667135263
"ap23","ap23-iv",8.71388672679822
"ap26","ap26-i",8.21518264840183
"ap26","ap26-ii",37.8200102266917
"ap26","ap26-iii",5.70505617977528
"ap26","ap23-iv",5.73642977056519
"aq9","aq9-i.o",5.88375978193968
"aq9","aq9-i",2.23455215907916
"aq9","aq9-iii",3.69258432738774
"aq9","aq9-iv",12.1340568850468
"aq21","aq21-i",4.23664190140218
"aq21","aq21-ii",19.437860027809
"aq21","aq21-iii",6.38744179613665
"aq21","aq21-iv",35.5461818181818
"ar14","ar14-i",4.01829443138154
"ar14","ar14-ii",1.28342614386589
"ar14","ar14-iii",0.587994700155539
"ar14","ar14-iv",18.1511533557436
"as10","as10-i",76.4613843070757
"as10","as10-i.o",47.9133946600853
"as10","as10-ii",48.1128146886239
"as10","as10-ii.o",31.0317505885055
"as10","as10-iii",6.53800306522109
"as10","as10-iii.o",51.1875187518752
"as10","as10-iv",6.07565574258015
"as10","as10-iv.o",7.02376729336644
"at15","at15-i",1.01495766116571
"at15","at15-i.o",0.676515194068416
"at15","at15-ii",2.88012635477371
"at15","at15-ii.o",0.826283905473994
"at15","at15-iii",5.14995051138238
"at15","at15-iii.o",0.934363786916919
"at15","at15-iv",2.27260755048288
"at15","at15-iv.o",1.74787785249697
"awx12","awx12-i",23.3785822021116
"awx12","awx12-ii",43.9423966897153
"awx12","awx12-iii",11.7498298340227
"awx12","awx12-iv",46.8391355264559
"aw14","aw14-i",113.144768568862
"aw14","aw14-ii",105.850545164436
"aw14","aw14-iii",86.507704310513
"aw14","aw14-iv",10.2977643268574
"bg28","bg28-i",4.07666565257073
"bg28","bg28-ii",1.51685958731756
"bg28","bg28-iii",1.1790365929295
"bg28","bg28-iv",1.04578525418231
"bi25","bi25-i",7.98164669375089
"bi25","bi25-ii",19.6208045093518
"bi25","bi25-iii",6.85995026384424
"bi25","bi25-iv",6.76995155193526
"bj29","bj29-i",6.14424455742406
"bj29","bj29-i.o",10.7022788151714
"bj29","bj29-ii",10.9259929664874
"bj29","bj29-ii.o",1.57049937054133
"bj29","bj29-iii",12.8368959494303
"bj29","bj29-iii.o",52.310480217457
"bj29","bj29-iv",14.4080937660148
"bj29","bj29-iv.o",15.1930744693903
"bm7","bm7-i",93.389296956978
"bm7","bm7-ii",75.734977771404
"bm7","bm7-iii",74.3248041281038
"bm7","bm7-iv",91.4911741043964
"bm22","bm22-i",15.8583290422245
"bm22","bm22-ii",20.1850291530451
"bm22","bm22-iii",33.561967833491
"bm22","bm22-iv",23.7432507608233
"bm24","bm24-i",15.9318077382594
"bm24","bm24-ii",20.5326389177076
"bm24","bm24-iii",14.4313995294953
"bm24","bm24-iv",13.9279533204767
"bm29","bm29-i",12.4452541895508
"bm29","bm29-ii",16.8310275511411
"bm29","bm29-iii",34.8685157637123
"bm29","bm29-iv",11.4864544664718
"bn5","bn5-i",87.1236736270478
"bn5","bn5-ii",67.3669843826912
"bn5","bn5-iii",91.0622776198895
"bn5","bn5-iv",75.1536965415484
"bn28","bn28-i",54.6286427723134
"bn28","bn28-ii",50.6326728798574
"bn28","bn28-iii",32.7614308998885
"bn28","bn28-iv",55.7297998770576
"bo27","bo27-i",12.1509056005342
"bo27","bo27-ii",6.40179605679552
"bo27","bo27-iii",4.37965924847952
"bo27","bo27-iv",5.6368427466033
"bo31","bo31-i",5.30708128078818
"bo31","bo31-ii",7.08200657723025
"bo31","bo31-iii",4.1570478565491
"bo31","bo31-iv",5.66347545363464
"bq17","bq17-i",9.31444279100529
"bq17","bq17-i.o",5.73324499056339
"bq17","bq17-ii",7.28828390860476
"bq17","xxx",0.0152497974615177
"bq17","bq17-ii.o",8.27604227151318
"bq17","bq17-iii",9.13539558639298
"bq17","bq17-iii.o",3.47690863212253
"bq17","bq17-iv",9.15887483303214
"bq17","bq17-iv.o",20.5769050079865
"bq27","bq27-i",40.7173463987572
"bq27","bq27-ii",48.2464113601674
"bq27","bq27-iii",44.5499513572026
"bq27","bq27-iv",40.2780712504754
"bq29","bq29-i",9.22572880449318
"bq29","bq29-ii",3.82618510158014
"bq29","bq29-iii",162.707012880801
"bq29","bq29-iv",185.753683712867
"br3","br3-i",7.68957871396896
"br3","br3-ii",13.606424717999
"br3","br3-iv",10.8491250705588
"br3","br3-iii",3.93906805335152
"br29","br29-i",9.05916685505251
"br29","br29-ii",5.88026680124944
"br29","br29-iii",4.19379593282371
"br29","xxx",0.0615064183050948
"br29","br29-iv",3.16612408439241
"bs18","bs18-iii.o",46.4002595424154
"bs18","bs18-iii",58.9082183563287
"bs18","bs18-ii",47.5987763526463
"bs18","bs18-ii.o",21.5339506745597
"bs22","bs22-i",32.832519017142
"bs22","bs22-i.o",37.7617143223764
"bs22","bs22-ii",6.70316926345609
"bs22","bs22-ii.o",61.6862393545495
"bs22","bs22-iii",18.3568848550584
"bs22","bs22-iii.o",24.2642787996128
"bs22","bs22-iv",34.3157638762235
"bs22","bs22-iv.o",24.0462165294589
"bt8","bt8-i.o",5.22543998722526
"bt8","bt8-i",4.58554182441603
"bt8","bt8-iv",3.33320076360165
"bt8","bt8-iv.o",11.8963577371919
"bt8","bt8-iii",1.17675305880805
"bt8","bt8-iii.o",2.01050273070998
"bt8","bt8-ii",1.51723894305497
"bt8","bt8-ii.o",8.61992806209377
"bt13","bt13-i",89.8314168778016
"bt13","bt13-ii",73.6413902053713
"bt13","bt13-iii",84.3213482459979
"bt13","bt13-iv",78.5655103242265
"bt29","bt29-i",63.9281781993732
"bt29","bt29-iii",27.1253512217368
"bt29","bt29-iiiv",68.9508474954778
"bt29","bt29-iv",72.2167722405964
"bu16","bu16-i",52.9349850214558
"bu16","bu16-ii",53.3363632607528
"bu16","bu16-iii",58.7458155251911
"bu16","bu16-iv",48.9532489522038
"bu27","bu27-i",58.2286770036717
"bu27","bu27-ii",83.5665706051873
"bu27","bu27-iii",77.8754786555099
"bu27","bu27-iv",98.8402120237394
"bv15","bv15-i",80.3743707093822
"bv15","bv15-ii",25.023023023023
"bv15","bv15-iii",89.3714830710539
"bv15","bv15-iv",56.6553464001552
"bv19","bv19-i",14.3630617901787
"bv19","bv19-ii",43.1498134609993
"bv19","bv19-iv",5.62883536786539
"bv19","bv19-iii",20.7492948752062
"bv23","bv23-i",8.57870572513529
"bv23","bv23-ii",14.9271462513955
"bv23","bv23-iii",2.91628877852156
"bv23","bv23-iv",4.37225889018305
"bv24","bv24-i",8.50967533367201
"bv24","bv24-ii",14.433106402509
"bv24","bv24-iii",20.461883479395
"bv24","bv24-iv",25.4255533876068
"bw10","bw10-i",47.6510169750726
"bw10","bw10-ii",58.9579496623696
"bw10","bw10-iii",97.256428830134
"bw10","bw10-iv",116.087879408247
"bw11","bw11-i",23.0005166623611
"bw11","bw11-ii",74.5280426701148
"bw11","bw11-iii",25.8021284982263
"bw11","bw11-iv",34.595069134538
"bx21","bx21-i",72.4319228398419
"bx21","bx21-ii",60.3952737844398
"bx21","bx21-iii",83.1427682232115
"bx21","bx21-iv",36.5564464531235
